company,country,genre,name,rating,runtime,score,votes,year
Lightyear Entertainment,UK,Comedy,Aria,R,90,5.8,2243,1987
Emshell Producers,USA,Comedy,Ernest Goes to Camp,PG,92,5.5,9526,1987
Nouvelles Éditions de Films (NEF),France,Drama,Au Revoir les Enfants,PG,104,8,25969,1987
Columbia Pictures Corporation,USA,Crime,Someone to Watch Over Me,R,106,6.1,7854,1987
"Guber-Peters Company, The",USA,Comedy,Who's That Girl,PG,92,4.7,8125,1987
Universal Pictures,UK,Biography,Cry Freedom,PG,157,7.5,10692,1987
Fourth Protocol,UK,Thriller,The Fourth Protocol,R,119,6.5,7532,1987
Home Box Office (HBO),USA,Drama,Ironweed,R,143,6.8,6874,1987
Amercent Films,USA,Crime,Black Widow,R,102,6.3,7132,1987
Touchstone Pictures,USA,Action,Stakeout,R,117,6.6,20039,1987
Imagine Films Entertainment,USA,Comedy,Like Father Like Son,PG-13,96,5.1,4817,1987
Pelemele Film,West Germany,Comedy,Bagdad Cafe,PG,95,7.5,10255,1987
Cannon Group,USA,Drama,Shy People,R,100,6.9,940,1987
Twentieth Century Fox Film Corporation,USA,Comedy,Revenge of the Nerds II: Nerds in Paradise,PG-13,88,4.9,11444,1987
Simcom Limited,Canada,Horror,Prom Night II,R,97,5.6,3440,1987
Cannon Group,USA,Action,Death Wish 4: The Crackdown,R,99,5.3,6770,1987
Amercent Films,USA,Comedy,Project X,PG,108,6.1,8879,1987
Finnegan/Pinchuk Productions,USA,Action,North Shore,PG,96,6.5,1903,1987
7 Films Cinéma,France,Action,Man on Fire,R,87,5.9,1340,1987
Cannon Films,USA,Fantasy,The Barbarians,R,87,4.9,2538,1987
Columbia Pictures Corporation,USA,Action,Ishtar,PG-13,107,4.2,9094,1987
Conquering Unicorn,USA,Comedy,Hollywood Shuffle,R,78,7,3009,1987
Marimark Productions,USA,Comedy,Hunk,PG,102,4.6,1042,1987
Filmhaus,USA,Crime,House of Games,R,102,7.3,17508,1987
Not specified,USA,Crime,No Man's Land,R,100,6.1,3297,1987
Trans World Entertainment (TWE),USA,Sci-Fi,The Curse,R,92,4.9,1762,1987
TriStar Pictures,USA,Crime,Suspect,R,121,6.6,7506,1987
TriStar Pictures,USA,Action,The Principal,R,109,6.2,7311,1987
Columbia Pictures Corporation,UK,Comedy,Hope and Glory,PG-13,113,7.4,10291,1987
Touchstone Pictures,USA,Comedy,Outrageous Fortune,R,99,6.1,6123,1987
Carolco Entertainment,USA,Action,Extreme Prejudice,R,96,6.6,4924,1987
Cannon Group,USA,Action,American Ninja 2: The Confrontation,R,90,4.8,6565,1987
Cinecom Entertainment Group,USA,Drama,Matewan,PG-13,135,7.9,6198,1987
Vista Organization,USA,Drama,Three for the Road,PG,88,5.3,813,1987
Columbia Pictures,USA,Action,Leonard Part 6,PG,85,2.2,7387,1987
Golan-Globus Productions,USA,Crime,Street Smart,R,97,6.4,2096,1987
Zenith Entertainment,UK,Biography,Prick Up Your Ears,R,105,7.4,4799,1987
Gladden Entertainment,USA,Action,The Sicilian,R,115,5.3,3889,1987
Clear Type,USA,Comedy,Born in East L.A.,R,85,5.9,4648,1987
TAFT Entertainment Pictures,USA,Drama,Light of Day,PG-13,107,5.5,2101,1987
Per Holst Filmproduktion,Denmark,Drama,Pelle the Conqueror,PG-13,157,7.9,8321,1987
Balcor Film Investors,USA,Comedy,Return to Horror High,R,95,4.2,2337,1987
Paramount Pictures,USA,Comedy,Back to the Beach,PG,92,5.8,2332,1987
Vista Organization,USA,Horror,Nightflyers,R,89,4,796,1987
Metro-Goldwyn-Mayer (MGM),USA,Action,Fatal Beauty,R,104,5.3,2652,1987
Columbia Pictures Corporation,USA,Adventure,White Water Summer,PG,90,6.2,4353,1987
Nelson Entertainment,USA,Drama,The Whales of August,NOT RATED,90,7.6,3416,1987
De Laurentiis Entertainment Group (DEG),USA,Comedy,Hiding Out,PG-13,98,6.4,2584,1987
Kings Road Entertainment,USA,Comedy,My Best Friend Is a Vampire,PG,89,6.1,2690,1987
Orion Pictures,USA,Action,Malone,R,92,5.6,1959,1987
